songid,sundayid
1,1
2,4
3,33
4,1
4,31
4,37
5,2
6,4
6,27
6,30
7,19
7,29
7,33
8,11
9,16
10,20
10,28
11,27
11,30
12,28
12,31
13,1
13,6
14,2
14,17
15,3
15,19
16,5
17,5
18,6
18,38
19,7
20,8
20,9
20,24
20,27
21,10
22,13
22,15
23,15
23,31
24,16
24,34
25,16
26,17
27,12
27,17
27,22
28,21
29,22
30,23
31,23
31,24
31,34
31,38
32,26
32,39
33,29
34,32
35,35
36,35
37,2
37,13
38,9
39,14
40,39
41,3
42,3
43,5
43,12
43,25
43,32
44,7
45,7
46,11
46,12
47,13
48,14
48,21
49,21
50,22
50,35
51,4
51,24
52,37
53,6
54,14
55,18
56,18
56,19
57,25
58,8
58,26
58,38
59,9
59,28
59,30
60,10
61,10
62,11
62,15
62,37
63,17
64,18
64,20
64,39
65,32
66,20
67,33
68,23
69,25
69,26
69,29
70,34
7,8
